promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mrna_5p,rare_clusters,chaperone_load,promoter_sp_prior,concordance_n,composite,top20_cai,top20_mrna_5p,top20_chaperone_load,top20_promoter_sp_prior
PamyB,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,1.02000,4,0.91174,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,1.02000,4,0.91174,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,1.02000,4,0.91174,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,1.02000,4,0.91174,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,1.02000,4,0.91174,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,1.02000,4,0.91174,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_native,nglyc_native,0.91474,0.73333,2,0.15000,1.02000,4,0.90480,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_native,nglyc_native,0.91474,0.73333,2,0.15000,1.02000,4,0.90480,1,1,1,1
PamyB,SPamyB,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPamyB,5p_softened,direct_3xAla_pts1blk,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPamyB,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPamyB,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPamyB,5p_softened,direct_his6_pts1ok,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPamyB,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPglaA_pro,5p_softened,direct_3xAla_pts1blk,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPglaA_pro,5p_softened,direct_3xAla_pts1blk,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPglaA_pro,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPglaA_pro,5p_softened,direct_his6_pts1ok,prop_none,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPglaA_pro,5p_softened,direct_his6_pts1ok,prop_native,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPglaA_pro,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_ablated,0.91474,0.73333,2,0.00000,1.00000,4,0.90419,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_3xAla_pts1blk,prop_synth_flex,nglyc_native,0.91474,0.73333,2,0.18000,1.02000,4,0.90341,1,1,1,1
PamyB,SPamyB_pro,5p_softened,direct_his6_pts1ok,prop_synth_flex,nglyc_native,0.91474,0.73333,2,0.18000,1.02000,4,0.90341,1,1,1,1
