promoter,sp,codon,scaffold_base,propeptide,nglyc,cai,mfe,chaperone_load,promoter_sp_prior,esm_pLDDT,top20_cai,top20_mfe,top20_chaperone_load,top20_promoter_sp_prior,top20_esm,concordance_n5,composite_v1
PtefI,SPamyB,cai_max,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.6311,89.4300,1,1,1,0,1,4,0.8412
PtefI,SPamyB,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_native,1.0000,-13.3000,3.7000,0.6311,89.4300,1,1,1,0,1,4,0.8412
PtefI,SPamyB,high_gc,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,1.0000,-13.3000,3.7000,0.6311,89.4300,1,1,1,0,1,4,0.8412
PglaA,SPamyB_pro,5p_softened,direct_natag_pts1ok,short_kex2_pro,nglyc_native,0.8877,-17.8000,3.7000,0.8500,89.3800,0,1,1,1,1,4,0.8404
PglaA,SPamyB_pro,5p_softened,direct_natag_pts1ok,short_kex2_pro,nglyc_ablated,0.8877,-17.8000,3.7000,0.8500,89.3800,0,1,1,1,1,4,0.8404
PglaA,SPglaA_pro,cai_max,direct_his6_pts1ok,none,nglyc_native,1.0000,-17.3000,3.6000,0.8252,89.0000,1,1,1,1,0,4,0.8396
PglaA,SPglaA_pro,cai_max,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-17.3000,3.6000,0.8252,89.0000,1,1,1,1,0,4,0.8396
PglaA,SPglaA_pro,high_gc,direct_his6_pts1ok,none,nglyc_native,1.0000,-17.3000,3.6000,0.8252,89.0000,1,1,1,1,0,4,0.8396
PglaA,SPglaA_pro,high_gc,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-17.3000,3.6000,0.8252,89.0000,1,1,1,1,0,4,0.8396
PglaA,SPglaA,cai_max,direct_his6_pts1ok,none,nglyc_native,1.0000,-18.0000,3.6000,0.8087,89.1000,1,1,1,1,0,4,0.8394
PglaA,SPglaA,cai_max,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-18.0000,3.6000,0.8087,89.1000,1,1,1,1,0,4,0.8394
PglaA,SPglaA,high_gc,direct_his6_pts1ok,none,nglyc_native,1.0000,-18.0000,3.6000,0.8087,89.1000,1,1,1,1,0,4,0.8394
PglaA,SPglaA,high_gc,direct_his6_pts1ok,none,nglyc_ablated,1.0000,-18.0000,3.6000,0.8087,89.1000,1,1,1,1,0,4,0.8394
PamyB,SPamyB_pro,5p_softened_balanced,direct_natag_pts1ok,none,nglyc_native,0.6618,-17.8000,3.6000,1.0000,89.6400,0,1,1,1,1,4,0.8384
PamyB,SPamyB_pro,5p_softened_balanced,direct_natag_pts1ok,none,nglyc_ablated,0.6618,-17.8000,3.6000,1.0000,89.6400,0,1,1,1,1,4,0.8384
PamyB,SPamyB,5p_softened_balanced,direct_natag_pts1ok,none,nglyc_native,0.6618,-18.0000,3.6000,0.9709,89.7500,0,1,1,1,1,4,0.8382
PamyB,SPamyB,5p_softened_balanced,direct_natag_pts1ok,none,nglyc_ablated,0.6618,-18.0000,3.6000,0.9709,89.7500,0,1,1,1,1,4,0.8382
PglaA,SPamyB,cai_max,glaA_trunc_KR_pts1ok,none,nglyc_native,1.0000,-13.3000,8.8000,0.8252,89.7500,1,1,0,1,1,4,0.8369
PglaA,SPamyB,cai_max,glaA_trunc_KR_pts1ok,none,nglyc_ablated,1.0000,-13.3000,8.8000,0.8252,89.7500,1,1,0,1,1,4,0.8369
PglaA,SPamyB,high_gc,glaA_trunc_KR_pts1ok,none,nglyc_native,1.0000,-13.3000,8.8000,0.8252,89.7500,1,1,0,1,1,4,0.8369
PglaA,SPamyB,high_gc,glaA_trunc_KR_pts1ok,none,nglyc_ablated,1.0000,-13.3000,8.8000,0.8252,89.7500,1,1,0,1,1,4,0.8369
PglaA,SPglaA,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-18.0000,3.6000,0.8087,89.0700,1,1,1,1,0,4,0.8367
PglaA,SPglaA,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-18.0000,3.6000,0.8087,89.0700,1,1,1,1,0,4,0.8367
PglaA,SPglaA,high_gc,direct_natag_pts1ok,none,nglyc_native,1.0000,-18.0000,3.6000,0.8087,89.0700,1,1,1,1,0,4,0.8367
PglaA,SPglaA,high_gc,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-18.0000,3.6000,0.8087,89.0700,1,1,1,1,0,4,0.8367
PglaA,SPamyB,5p_softened,direct_his6_pts1ok,short_kex2_pro,nglyc_native,0.8877,-18.0000,3.7000,0.8252,89.4300,0,1,1,1,1,4,0.8361
PglaA,SPamyB,5p_softened,direct_his6_pts1ok,short_kex2_pro,nglyc_ablated,0.8877,-18.0000,3.7000,0.8252,89.4300,0,1,1,1,1,4,0.8361
PglaA,SPglaA_pro,cai_max,direct_natag_pts1ok,none,nglyc_native,1.0000,-17.3000,3.6000,0.8252,88.9500,1,1,1,1,0,4,0.8351
PglaA,SPglaA_pro,cai_max,direct_natag_pts1ok,none,nglyc_ablated,1.0000,-17.3000,3.6000,0.8252,88.9500,1,1,1,1,0,4,0.8351
